x,y,u_bulk,u_exact,label
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
7.8125000000e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
1.5625000000e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
2.3437500000e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
3.1250000000e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
3.9062500000e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
4.6875000000e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
5.4687500000e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
6.2500000000e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
7.0312500000e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
7.8125000000e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
8.5937500000e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
9.3750000000e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
1.0156250000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
1.0937500000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
1.1718750000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
1.2500000000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
1.3281250000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
1.4062500000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
1.4843750000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
1.5625000000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
1.6406250000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
1.7187500000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
1.7968750000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
1.8750000000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
1.9531250000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
2.0312500000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0
